Issue,year,value
Climate and Energy,2020-02-03,14771
Defense,2020-02-03,7398
Taxes,2020-02-03,7473
Poverty,2020-02-03,5717
Healthcare,2020-02-03,17981
Economic Inequality,2020-02-03,3586
Civil Rights & Discrimination,2020-02-03,26282
Labor Rights ,2020-02-03,5567
Education & Student Debt,2020-02-03,33203
Economy,2020-02-04,19084
Climate and Energy,2020-02-04,29291
Defense,2020-02-04,9178
Taxes,2020-02-04,9003
Poverty,2020-02-04,3711
Healthcare,2020-02-04,13692
Economic Inequality,2020-02-04,5517
Civil Rights & Discrimination,2020-02-04,54495
Labor Rights ,2020-02-04,2633
Education & Student Debt,2020-02-04,11811
Economy,2020-02-05,21090
Climate and Energy,2020-02-05,35159
Defense,2020-02-05,10106
Taxes,2020-02-05,13090
Poverty,2020-02-05,3235
Healthcare,2020-02-05,14269
Economic Inequality,2020-02-05,5015
Civil Rights & Discrimination,2020-02-05,33830
Labor Rights ,2020-02-05,4413
Education & Student Debt,2020-02-05,8451
Economy,2020-02-06,19009
Climate and Energy,2020-02-06,16727
Defense,2020-02-06,7523
Taxes,2020-02-06,29291
Poverty,2020-02-06,4238
Healthcare,2020-02-06,9855
Economic Inequality,2020-02-06,2758
Civil Rights & Discrimination,2020-02-06,44263
Labor Rights ,2020-02-06,10231
Education & Student Debt,2020-02-06,10206
Economy,2020-02-07,61141
Climate and Energy,2020-02-07,20990
Defense,2020-02-07,35661
Taxes,2020-02-07,33504
Poverty,2020-02-07,13266
Healthcare,2020-02-07,47899
Economic Inequality,2020-02-07,10583
Civil Rights & Discrimination,2020-02-07,81278
Labor Rights ,2020-02-07,17805
Education & Student Debt,2020-02-07,22445
Economy,2020-02-08,54896
Climate and Energy,2020-02-08,24877
Defense,2020-02-08,23322
Taxes,2020-02-08,26457
Poverty,2020-02-08,19786
Healthcare,2020-02-08,20012
Economic Inequality,2020-02-08,7347
Civil Rights & Discrimination,2020-02-08,74608
Labor Rights ,2020-02-08,11410
Education & Student Debt,2020-02-08,21241
Economy,2020-02-09,48050
Climate and Energy,2020-02-09,17429
Defense,2020-02-09,33228
Taxes,2020-02-09,40626
Poverty,2020-02-09,9680
Healthcare,2020-02-09,22018
Economic Inequality,2020-02-09,6420
Civil Rights & Discrimination,2020-02-09,58307
Labor Rights ,2020-02-09,6144
Education & Student Debt,2020-02-09,17329
Economy,2020-02-10,29316
Climate and Energy,2020-02-10,10357
Defense,2020-02-10,29366
Taxes,2020-02-10,24927
Poverty,2020-02-10,11285
Healthcare,2020-02-10,35485
Economic Inequality,2020-02-10,14871
Civil Rights & Discrimination,2020-02-10,31774
Labor Rights ,2020-02-10,7899
Education & Student Debt,2020-02-10,24551
Economy,2020-02-11,34131
Climate and Energy,2020-02-11,11335
Defense,2020-02-11,14771
Taxes,2020-02-11,21893
Poverty,2020-02-11,19912
Healthcare,2020-02-11,22570
Economic Inequality,2020-02-11,12890
Civil Rights & Discrimination,2020-02-11,111699
Labor Rights ,2020-02-11,11134
Education & Student Debt,2020-02-11,29115
Economy,2020-02-12,40501
Climate and Energy,2020-02-12,11510
Defense,2020-02-12,11485
Taxes,2020-02-12,27034
Poverty,2020-02-12,13141
Healthcare,2020-02-12,58557
Economic Inequality,2020-02-12,13241
Civil Rights & Discrimination,2020-02-12,74683
Labor Rights ,2020-02-12,8777
Education & Student Debt,2020-02-12,36639
Economy,2020-02-13,43811
Climate and Energy,2020-02-13,18106
Defense,2020-02-13,13266
Taxes,2020-02-13,21366
Poverty,2020-02-13,13040
Healthcare,2020-02-13,57579
Economic Inequality,2020-02-13,15648
Civil Rights & Discrimination,2020-02-13,103247
Labor Rights ,2020-02-13,23297
Education & Student Debt,2020-02-13,23849
Economy,2020-02-14,36012
Climate and Energy,2020-02-14,13868
Defense,2020-02-14,12815
Taxes,2020-02-14,14570
Poverty,2020-02-14,8250
Healthcare,2020-02-14,37818
Economic Inequality,2020-02-14,15498
Civil Rights & Discrimination,2020-02-14,88526
Labor Rights ,2020-02-14,14219
Education & Student Debt,2020-02-14,23598
Economy,2020-02-15,31724
Climate and Energy,2020-02-15,7824
Defense,2020-02-15,7398
Taxes,2020-02-15,11360
Poverty,2020-02-15,6294
Healthcare,2020-02-15,24175
Economic Inequality,2020-02-15,12388
Civil Rights & Discrimination,2020-02-15,105504
Labor Rights ,2020-02-15,18106
Education & Student Debt,2020-02-15,15648
Economy,2020-02-16,25429
Climate and Energy,2020-02-16,8952
Defense,2020-02-16,6846
Taxes,2020-02-16,23924
Poverty,2020-02-16,5642
Healthcare,2020-02-16,35661
Economic Inequality,2020-02-16,13040
Civil Rights & Discrimination,2020-02-16,68965
Labor Rights ,2020-02-16,15322
Education & Student Debt,2020-02-16,18733
Economy,2020-02-17,37843
Climate and Energy,2020-02-17,18758
Defense,2020-02-17,7272
Taxes,2020-02-17,18608
Poverty,2020-02-17,10407
Healthcare,2020-02-17,50482
Economic Inequality,2020-02-17,12338
Civil Rights & Discrimination,2020-02-17,68489
Labor Rights ,2020-02-17,6996
Education & Student Debt,2020-02-17,15398
Economy,2020-02-18,55749
Climate and Energy,2020-02-18,18056
Defense,2020-02-18,7548
Taxes,2020-02-18,32626
Poverty,2020-02-18,9529
Healthcare,2020-02-18,38470
Economic Inequality,2020-02-18,19134
Civil Rights & Discrimination,2020-02-18,86721
Labor Rights ,2020-02-18,6194
Education & Student Debt,2020-02-18,18858
Economy,2020-02-19,58382
Climate and Energy,2020-02-19,54545
Defense,2020-02-19,10583
Taxes,2020-02-19,77467
Poverty,2020-02-19,32601
Healthcare,2020-02-19,93040
Economic Inequality,2020-02-19,46470
Civil Rights & Discrimination,2020-02-19,132037
Labor Rights ,2020-02-19,18457
Education & Student Debt,2020-02-19,28965
Economy,2020-02-20,50131
Climate and Energy,2020-02-20,25128
Defense,2020-02-20,15598
Taxes,2020-02-20,49529
Poverty,2020-02-20,21717
Healthcare,2020-02-20,59210
Economic Inequality,2020-02-20,37492
Civil Rights & Discrimination,2020-02-20,114858
Labor Rights ,2020-02-20,10507
Education & Student Debt,2020-02-20,22921
Economy,2020-02-21,45567
Climate and Energy,2020-02-21,10156
Defense,2020-02-21,11159
Taxes,2020-02-21,17379
Poverty,2020-02-21,8752
Healthcare,2020-02-21,35360
Economic Inequality,2020-02-21,9329
Civil Rights & Discrimination,2020-02-21,42482
Labor Rights ,2020-02-21,6746
Education & Student Debt,2020-02-21,16025
Economy,2020-02-22,49755
Climate and Energy,2020-02-22,8075
Defense,2020-02-22,25028
Taxes,2020-02-22,16300
Poverty,2020-02-22,7874
Healthcare,2020-02-22,40175
Economic Inequality,2020-02-22,7548
Civil Rights & Discrimination,2020-02-22,41981
Labor Rights ,2020-02-22,22871
Education & Student Debt,2020-02-22,15749
Economy,2020-02-23,68012
Climate and Energy,2020-02-23,9605
Defense,2020-02-23,17755
Taxes,2020-02-23,30043
Poverty,2020-02-23,10984
Healthcare,2020-02-23,45567
Economic Inequality,2020-02-23,8200
Civil Rights & Discrimination,2020-02-23,59034
Labor Rights ,2020-02-23,21141
Education & Student Debt,2020-02-23,28589
Economy,2020-02-24,50006
Climate and Energy,2020-02-24,35360
Defense,2020-02-24,20990
Taxes,2020-02-24,54871
Poverty,2020-02-24,24626
Healthcare,2020-02-24,99184
Economic Inequality,2020-02-24,11536
Civil Rights & Discrimination,2020-02-24,55849
Labor Rights ,2020-02-24,15272
Education & Student Debt,2020-02-24,66833
Economy,2020-02-25,53993
Climate and Energy,2020-02-25,52815
Defense,2020-02-25,46821
Taxes,2020-02-25,49755
Poverty,2020-02-25,24927
Healthcare,2020-02-25,105053
Economic Inequality,2020-02-25,14921
Civil Rights & Discrimination,2020-02-25,100589
Labor Rights ,2020-02-25,43611
Education & Student Debt,2020-02-25,104877
Economy,2020-02-26,34382
Climate and Energy,2020-02-26,21416
Defense,2020-02-26,26382
Taxes,2020-02-26,42206
Poverty,2020-02-26,17880
Healthcare,2020-02-26,55949
Economic Inequality,2020-02-26,43360
Civil Rights & Discrimination,2020-02-26,93442
Labor Rights ,2020-02-26,26608
Education & Student Debt,2020-02-26,61316
Economy,2020-02-27,30219
Climate and Energy,2020-02-27,17103
Defense,2020-02-27,15072
Taxes,2020-02-27,36263
Poverty,2020-02-27,8677
Healthcare,2020-02-27,39648
Economic Inequality,2020-02-27,12012
Civil Rights & Discrimination,2020-02-27,59184
Labor Rights ,2020-02-27,11260
Education & Student Debt,2020-02-27,36263
Economy,2020-02-28,33579
Climate and Energy,2020-02-28,31623
Defense,2020-02-28,13040
Taxes,2020-02-28,21742
Poverty,2020-02-28,6294
Healthcare,2020-02-28,28313
Economic Inequality,2020-02-28,6219
Civil Rights & Discrimination,2020-02-28,44639
Labor Rights ,2020-02-28,4188
Education & Student Debt,2020-02-28,23974
Economy,2020-02-29,29742
Climate and Energy,2020-02-29,26758
Defense,2020-02-29,7398
Taxes,2020-02-29,24075
Poverty,2020-02-29,5993
Healthcare,2020-02-29,29617
Economic Inequality,2020-02-29,9504
Civil Rights & Discrimination,2020-02-29,36037
Labor Rights ,2020-02-29,5893
Education & Student Debt,2020-02-29,27811
Economy,2020-03-01,47724
Climate and Energy,2020-03-01,33730
Defense,2020-03-01,9655
Taxes,2020-03-01,26683
Poverty,2020-03-01,8451
Healthcare,2020-03-01,28614
Economic Inequality,2020-03-01,9479
Civil Rights & Discrimination,2020-03-01,96626
Labor Rights ,2020-03-01,10482
Education & Student Debt,2020-03-01,40125
Economy,2020-03-02,64902
Climate and Energy,2020-03-02,28438
Defense,2020-03-02,13216
Taxes,2020-03-02,58783
Poverty,2020-03-02,10833
Healthcare,2020-03-02,61366
Economic Inequality,2020-03-02,13592
Civil Rights & Discrimination,2020-03-02,83836
Labor Rights ,2020-03-02,13818
Education & Student Debt,2020-03-02,38670
Economy,2020-03-03,77115
Climate and Energy,2020-03-03,54796
Defense,2020-03-03,34257
Taxes,2020-03-03,24401
Poverty,2020-03-03,18081
Healthcare,2020-03-03,64626
Economic Inequality,2020-03-03,24150
Civil Rights & Discrimination,2020-03-03,78319
Labor Rights ,2020-03-03,27310
Education & Student Debt,2020-03-03,44012
Economy,2020-03-04,76940
Climate and Energy,2020-03-04,53040
Defense,2020-03-04,31072
Taxes,2020-03-04,32150
Poverty,2020-03-04,14946
Healthcare,2020-03-04,100815
Economic Inequality,2020-03-04,13316
Civil Rights & Discrimination,2020-03-04,118269
Labor Rights ,2020-03-04,44940
Education & Student Debt,2020-03-04,40677
Economy,2020-03-05,52614
Climate and Energy,2020-03-05,33705
Defense,2020-03-05,33730
Taxes,2020-03-05,34557
Poverty,2020-03-05,10257
Healthcare,2020-03-05,82833
Economic Inequality,2020-03-05,10006
Civil Rights & Discrimination,2020-03-05,203862
Labor Rights ,2020-03-05,13141
Education & Student Debt,2020-03-05,42006
Economy,2020-03-06,71322
Climate and Energy,2020-03-06,31573
Defense,2020-03-06,34382
Taxes,2020-03-06,26858
Poverty,2020-03-06,11034
Healthcare,2020-03-06,87974
Economic Inequality,2020-03-06,5642
Civil Rights & Discrimination,2020-03-06,151398
Labor Rights ,2020-03-06,7322
Education & Student Debt,2020-03-06,24978
Economy,2020-03-07,45517
Climate and Energy,2020-03-07,40626
Defense,2020-03-07,8652
Taxes,2020-03-07,18206
Poverty,2020-03-07,7824
Healthcare,2020-03-07,38796
Economic Inequality,2020-03-07,3937
Civil Rights & Discrimination,2020-03-07,71097
Labor Rights ,2020-03-07,6771
Education & Student Debt,2020-03-07,18206
Economy,2020-03-08,39774
Climate and Energy,2020-03-08,20940
Defense,2020-03-08,7473
Taxes,2020-03-08,22369
Poverty,2020-03-08,8551
Healthcare,2020-03-08,35586
Economic Inequality,2020-03-08,3059
Civil Rights & Discrimination,2020-03-08,73605
Labor Rights ,2020-03-08,5868
Education & Student Debt,2020-03-08,23749
Economy,2020-03-09,103749
Climate and Energy,2020-03-09,21191
Defense,2020-03-09,9504
Taxes,2020-03-09,21492
Poverty,2020-03-09,42131
Healthcare,2020-03-09,119398
Economic Inequality,2020-03-09,41304
Civil Rights & Discrimination,2020-03-09,36965
Labor Rights ,2020-03-09,42307
Education & Student Debt,2020-03-09,37918
Economy,2020-03-10,52263
Climate and Energy,2020-03-10,31799
Defense,2020-03-10,7297
Taxes,2020-03-10,15999
Poverty,2020-03-10,13115
Healthcare,2020-03-10,194507
Economic Inequality,2020-03-10,14821
Civil Rights & Discrimination,2020-03-10,67736
Labor Rights ,2020-03-10,30244
Education & Student Debt,2020-03-10,36689
Economy,2020-03-11,33153
Climate and Energy,2020-03-11,35184
Defense,2020-03-11,11786
Taxes,2020-03-11,12263
Poverty,2020-03-11,9479
Healthcare,2020-03-11,98056
Economic Inequality,2020-03-11,2909
Civil Rights & Discrimination,2020-03-11,53943
Labor Rights ,2020-03-11,14194
Education & Student Debt,2020-03-11,22269
Economy,2020-03-12,60739
Climate and Energy,2020-03-12,11586
Defense,2020-03-12,10683
Taxes,2020-03-12,7473
Poverty,2020-03-12,15849
Healthcare,2020-03-12,111147
Economic Inequality,2020-03-12,2357
Civil Rights & Discrimination,2020-03-12,24652
Labor Rights ,2020-03-12,5592
Education & Student Debt,2020-03-12,19786
Economy,2020-03-13,36965
Climate and Energy,2020-03-13,5717
Defense,2020-03-13,5241
Taxes,2020-03-13,5391
Poverty,2020-03-13,9379
Healthcare,2020-03-13,67084
Economic Inequality,2020-03-13,2357
Civil Rights & Discrimination,2020-03-13,15473
Labor Rights ,2020-03-13,2457
Education & Student Debt,2020-03-13,10131
Economy,2020-03-14,26658
Climate and Energy,2020-03-14,6119
Defense,2020-03-14,2482
Taxes,2020-03-14,4489
Poverty,2020-03-14,19811
Healthcare,2020-03-14,64978
Economic Inequality,2020-03-14,1379
Civil Rights & Discrimination,2020-03-14,15272
Labor Rights ,2020-03-14,2307
Education & Student Debt,2020-03-14,22871
Economy,2020-03-15,76514
Climate and Energy,2020-03-15,50708
Defense,2020-03-15,24150
Taxes,2020-03-15,22971
Poverty,2020-03-15,11084
Healthcare,2020-03-15,111297
Economic Inequality,2020-03-15,10056
Civil Rights & Discrimination,2020-03-15,61341
Labor Rights ,2020-03-15,12087
Education & Student Debt,2020-03-15,53366
Economy,2020-03-16,64075
Climate and Energy,2020-03-16,23623
Defense,2020-03-16,12188
Taxes,2020-03-16,11084
Poverty,2020-03-16,5015
Healthcare,2020-03-16,57730
Economic Inequality,2020-03-16,7122
Civil Rights & Discrimination,2020-03-16,46871
Labor Rights ,2020-03-16,5341
Education & Student Debt,2020-03-16,18081
Economy,2020-03-17,67059
Climate and Energy,2020-03-17,6620
Defense,2020-03-17,2708
Taxes,2020-03-17,8351
Poverty,2020-03-17,7197
Healthcare,2020-03-17,36915
Economic Inequality,2020-03-17,5492
Civil Rights & Discrimination,2020-03-17,11435
Labor Rights ,2020-03-17,8426
Education & Student Debt,2020-03-17,12263
Economy,2020-03-18,78871
Climate and Energy,2020-03-18,8727
Defense,2020-03-18,19636
Taxes,2020-03-18,32100
Poverty,2020-03-18,3836
Healthcare,2020-03-18,33755
Economic Inequality,2020-03-18,27009
Civil Rights & Discrimination,2020-03-18,15799
Labor Rights ,2020-03-18,5291
Education & Student Debt,2020-03-18,8852
Economy,2020-03-19,26557
Climate and Energy,2020-03-19,2833
Defense,2020-03-19,43510
Taxes,2020-03-19,7021
Poverty,2020-03-19,3184
Healthcare,2020-03-19,71623
Economic Inequality,2020-03-19,3335
Civil Rights & Discrimination,2020-03-19,16250
Labor Rights ,2020-03-19,2156
Education & Student Debt,2020-03-19,15598
Economy,2020-03-20,56075
Climate and Energy,2020-03-20,2708
Defense,2020-03-20,8300
Taxes,2020-03-20,4539
Poverty,2020-03-20,3736
Healthcare,2020-03-20,45492
Economic Inequality,2020-03-20,3711
Civil Rights & Discrimination,2020-03-20,8902
Labor Rights ,2020-03-20,9931
Education & Student Debt,2020-03-20,7021
Economy,2020-03-21,26934
Climate and Energy,2020-03-21,1404
Defense,2020-03-21,2231
Taxes,2020-03-21,4112
Poverty,2020-03-21,3009
Healthcare,2020-03-21,23899
Economic Inequality,2020-03-21,1454
Civil Rights & Discrimination,2020-03-21,15272
Labor Rights ,2020-03-21,2733
Education & Student Debt,2020-03-21,4388
Economy,2020-03-22,40927
Climate and Energy,2020-03-22,927
Defense,2020-03-22,2557
Taxes,2020-03-22,4865
Poverty,2020-03-22,7197
Healthcare,2020-03-22,38169
Economic Inequality,2020-03-22,1529
Civil Rights & Discrimination,2020-03-22,5943
Labor Rights ,2020-03-22,1479
Education & Student Debt,2020-03-22,5015
Economy,2020-03-23,56200
Climate and Energy,2020-03-23,2106
Defense,2020-03-23,2257
Taxes,2020-03-23,3134
Poverty,2020-03-23,7222
Healthcare,2020-03-23,43210
Economic Inequality,2020-03-23,1153
Civil Rights & Discrimination,2020-03-23,26382
Labor Rights ,2020-03-23,1680
Education & Student Debt,2020-03-23,4438
Economy,2020-03-24,98683
Climate and Energy,2020-03-24,3159
Defense,2020-03-24,1680
Taxes,2020-03-24,2683
Poverty,2020-03-24,2307
Healthcare,2020-03-24,17429
Economic Inequality,2020-03-24,852
Civil Rights & Discrimination,2020-03-24,43435
Labor Rights ,2020-03-24,1354
Education & Student Debt,2020-03-24,3310
Economy,2020-03-25,69115
Climate and Energy,2020-03-25,5667
Defense,2020-03-25,3310
Taxes,2020-03-25,17931
Poverty,2020-03-25,6194
Healthcare,2020-03-25,78144
Economic Inequality,2020-03-25,702
Civil Rights & Discrimination,2020-03-25,30068
Labor Rights ,2020-03-25,5166
Education & Student Debt,2020-03-25,5442
Economy,2020-03-26,85090
Climate and Energy,2020-03-26,2858
Defense,2020-03-26,2557
Taxes,2020-03-26,10357
Poverty,2020-03-26,4087
Healthcare,2020-03-26,54470
Economic Inequality,2020-03-26,1003
Civil Rights & Discrimination,2020-03-26,11084
Labor Rights ,2020-03-26,9354
Education & Student Debt,2020-03-26,8777
Economy,2020-03-27,43611
Climate and Energy,2020-03-27,3410
Defense,2020-03-27,1705
Taxes,2020-03-27,2733
Poverty,2020-03-27,1128
Healthcare,2020-03-27,43210
Economic Inequality,2020-03-27,702
Civil Rights & Discrimination,2020-03-27,9429
Labor Rights ,2020-03-27,2934
Education & Student Debt,2020-03-27,9078
Economy,2020-03-28,24652
Climate and Energy,2020-03-28,1730
Defense,2020-03-28,626
Taxes,2020-03-28,2984
Poverty,2020-03-28,2357
Healthcare,2020-03-28,21442
Economic Inequality,2020-03-28,652
Civil Rights & Discrimination,2020-03-28,11310
Labor Rights ,2020-03-28,1956
Education & Student Debt,2020-03-28,3962
Economy,2020-03-29,22620
Climate and Energy,2020-03-29,2608
Defense,2020-03-29,978
Taxes,2020-03-29,3034
Poverty,2020-03-29,2131
Healthcare,2020-03-29,32526
Economic Inequality,2020-03-29,1730
Civil Rights & Discrimination,2020-03-29,20614
Labor Rights ,2020-03-29,1103
Education & Student Debt,2020-03-29,3159
Economy,2020-03-30,17605
Climate and Energy,2020-03-30,2206
Defense,2020-03-30,1504
Taxes,2020-03-30,11184
Poverty,2020-03-30,8451
Healthcare,2020-03-30,43260
Economic Inequality,2020-03-30,1504
Civil Rights & Discrimination,2020-03-30,8326
Labor Rights ,2020-03-30,1253
Education & Student Debt,2020-03-30,3435
Economy,2020-03-31,18507
Climate and Energy,2020-03-31,5416
Defense,2020-03-31,1053
Taxes,2020-03-31,5065
Poverty,2020-03-31,4288
Healthcare,2020-03-31,40601
Economic Inequality,2020-03-31,1003
Civil Rights & Discrimination,2020-03-31,33354
Labor Rights ,2020-03-31,5517
Education & Student Debt,2020-03-31,2156
Economy,2020-04-01,16827
Climate and Energy,2020-04-01,3586
Defense,2020-04-01,4238
Taxes,2020-04-01,4137
Poverty,2020-04-01,3536
Healthcare,2020-04-01,45742
Economic Inequality,2020-04-01,852
Civil Rights & Discrimination,2020-04-01,15949
Labor Rights ,2020-04-01,3059
Education & Student Debt,2020-04-01,2833
Economy,2020-04-02,56376
Climate and Energy,2020-04-02,5517
Defense,2020-04-02,3912
Taxes,2020-04-02,11260
Poverty,2020-04-02,4388
Healthcare,2020-04-02,58683
Economic Inequality,2020-04-02,1354
Civil Rights & Discrimination,2020-04-02,14495
Labor Rights ,2020-04-02,1680
Education & Student Debt,2020-04-02,5692
Economy,2020-04-03,58332
Climate and Energy,2020-04-03,1304
Defense,2020-04-03,9028
Taxes,2020-04-03,10357
Poverty,2020-04-03,8025
Healthcare,2020-04-03,55924
Economic Inequality,2020-04-03,752
Civil Rights & Discrimination,2020-04-03,21717
Labor Rights ,2020-04-03,1429
Education & Student Debt,2020-04-03,18382
Economy,2020-04-04,26934
Climate and Energy,2020-04-04,1554
Defense,2020-04-04,2056
Taxes,2020-04-04,4614
Poverty,2020-04-04,3460
Healthcare,2020-04-04,34206
Economic Inequality,2020-04-04,451
Civil Rights & Discrimination,2020-04-04,17504
Labor Rights ,2020-04-04,1304
Education & Student Debt,2020-04-04,4915
Economy,2020-04-05,12714
Climate and Energy,2020-04-05,1278
Defense,2020-04-05,2357
Taxes,2020-04-05,4915
Poverty,2020-04-05,1680
Healthcare,2020-04-05,18206
Economic Inequality,2020-04-05,551
Civil Rights & Discrimination,2020-04-05,19410
Labor Rights ,2020-04-05,1354
Education & Student Debt,2020-04-05,2783
Economy,2020-04-06,19661
Climate and Energy,2020-04-06,7523
Defense,2020-04-06,9429
Taxes,2020-04-06,3711
Poverty,2020-04-06,1329
Healthcare,2020-04-06,13818
Economic Inequality,2020-04-06,652
Civil Rights & Discrimination,2020-04-06,12990
Labor Rights ,2020-04-06,852
Education & Student Debt,2020-04-06,7322
Economy,2020-04-07,23498
Climate and Energy,2020-04-07,7598
Defense,2020-04-07,2357
Taxes,2020-04-07,3310
Poverty,2020-04-07,2006
Healthcare,2020-04-07,14746
Economic Inequality,2020-04-07,1905
Civil Rights & Discrimination,2020-04-07,37141
Labor Rights ,2020-04-07,1730
Education & Student Debt,2020-04-07,5040
Economy,2020-04-08,44388
Climate and Energy,2020-04-08,31047
Defense,2020-04-08,4062
Taxes,2020-04-08,11084
Poverty,2020-04-08,5617
Healthcare,2020-04-08,66206
Economic Inequality,2020-04-08,3084
Civil Rights & Discrimination,2020-04-08,44589
Labor Rights ,2020-04-08,17379
Education & Student Debt,2020-04-08,17655
Economy,2020-04-09,55247
Climate and Energy,2020-04-09,12714
Defense,2020-04-09,2959
Taxes,2020-04-09,7648
Poverty,2020-04-09,3761
Healthcare,2020-04-09,71523
Economic Inequality,2020-04-09,6169
Civil Rights & Discrimination,2020-04-09,21191
Labor Rights ,2020-04-09,8326
Education & Student Debt,2020-04-09,37366
Economy,2020-04-10,29542
Climate and Energy,2020-04-10,10608
Defense,2020-04-10,1529
Taxes,2020-04-10,3786
Poverty,2020-04-10,2257
Healthcare,2020-04-10,34156
Economic Inequality,2020-04-10,2282
Civil Rights & Discrimination,2020-04-10,17605
Labor Rights ,2020-04-10,2783
Education & Student Debt,2020-04-10,14821
Economy,2020-04-11,26081
Climate and Energy,2020-04-11,9830
Defense,2020-04-11,1730
Taxes,2020-04-11,5943
Poverty,2020-04-11,1680
Healthcare,2020-04-11,23899
Economic Inequality,2020-04-11,451
Civil Rights & Discrimination,2020-04-11,10131
Labor Rights ,2020-04-11,3811
Education & Student Debt,2020-04-11,6921
Economy,2020-04-12,23573
Climate and Energy,2020-04-12,11711
Defense,2020-04-12,2031
Taxes,2020-04-12,2858
Poverty,2020-04-12,2482
Healthcare,2020-04-12,21266
Economic Inequality,2020-04-12,476
Civil Rights & Discrimination,2020-04-12,19686
Labor Rights ,2020-04-12,2733
Education & Student Debt,2020-04-12,18106
Economy,2020-04-13,33730
Climate and Energy,2020-04-13,12639
Defense,2020-04-13,5893
Taxes,2020-04-13,10482
Poverty,2020-04-13,3561
Healthcare,2020-04-13,27811
Economic Inequality,2020-04-13,677
Civil Rights & Discrimination,2020-04-13,24727
Labor Rights ,2020-04-13,3536
Education & Student Debt,2020-04-13,21943
Economy,2020-04-14,31097
Climate and Energy,2020-04-14,7072
Defense,2020-04-14,6420
Taxes,2020-04-14,11059
Poverty,2020-04-14,4689
Healthcare,2020-04-14,22119
Economic Inequality,2020-04-14,1655
Civil Rights & Discrimination,2020-04-14,12965
Labor Rights ,2020-04-14,2583
Education & Student Debt,2020-04-14,5843
Economy,2020-04-15,34658
Climate and Energy,2020-04-15,4188
Defense,2020-04-15,5065
Taxes,2020-04-15,5793
Poverty,2020-04-15,4815
Healthcare,2020-04-15,11887
Economic Inequality,2020-04-15,8125
Civil Rights & Discrimination,2020-04-15,13642
Labor Rights ,2020-04-15,3310
Education & Student Debt,2020-04-15,4037
Economy,2020-04-16,47297
Climate and Energy,2020-04-16,4865
Defense,2020-04-16,3134
Taxes,2020-04-16,2357
Poverty,2020-04-16,1630
Healthcare,2020-04-16,14796
Economic Inequality,2020-04-16,3736
Civil Rights & Discrimination,2020-04-16,18858
Labor Rights ,2020-04-16,1404
Education & Student Debt,2020-04-16,6796
Economy,2020-04-17,37442
Climate and Energy,2020-04-17,7398
Defense,2020-04-17,23172
Taxes,2020-04-17,4764
Poverty,2020-04-17,1479
Healthcare,2020-04-17,51811
Economic Inequality,2020-04-17,1103
Civil Rights & Discrimination,2020-04-17,13141
Labor Rights ,2020-04-17,1003
Education & Student Debt,2020-04-17,8677
Economy,2020-04-18,60965
Climate and Energy,2020-04-18,3887
Defense,2020-04-18,7297
Taxes,2020-04-18,3134
Poverty,2020-04-18,2282
Healthcare,2020-04-18,10583
Economic Inequality,2020-04-18,652
Civil Rights & Discrimination,2020-04-18,8300
Labor Rights ,2020-04-18,802
Education & Student Debt,2020-04-18,2934
Economy,2020-04-19,36990
Climate and Energy,2020-04-19,2457
Defense,2020-04-19,4915
Taxes,2020-04-19,13166
Poverty,2020-04-19,727
Healthcare,2020-04-19,7924
Economic Inequality,2020-04-19,978
Civil Rights & Discrimination,2020-04-19,26909
Labor Rights ,2020-04-19,1429
Education & Student Debt,2020-04-19,4489
Economy,2020-04-20,20940
Climate and Energy,2020-04-20,7623
Defense,2020-04-20,4213
Taxes,2020-04-20,10482
Poverty,2020-04-20,3435
Healthcare,2020-04-20,8426
Economic Inequality,2020-04-20,576
Civil Rights & Discrimination,2020-04-20,11912
Labor Rights ,2020-04-20,1504
Education & Student Debt,2020-04-20,10783
Economy,2020-04-21,46695
Climate and Energy,2020-04-21,10432
Defense,2020-04-21,1780
Taxes,2020-04-21,2482
Poverty,2020-04-21,5366
Healthcare,2020-04-21,6645
Economic Inequality,2020-04-21,576
Civil Rights & Discrimination,2020-04-21,6695
Labor Rights ,2020-04-21,927
Education & Student Debt,2020-04-21,6244
Economy,2020-04-22,47849
Climate and Energy,2020-04-22,52514
Defense,2020-04-22,2307
Taxes,2020-04-22,4213
Poverty,2020-04-22,3159
Healthcare,2020-04-22,4664
Economic Inequality,2020-04-22,451
Civil Rights & Discrimination,2020-04-22,14470
Labor Rights ,2020-04-22,601
Education & Student Debt,2020-04-22,5968
Economy,2020-04-23,48927
Climate and Energy,2020-04-23,20714
Defense,2020-04-23,5467
Taxes,2020-04-23,3310
Poverty,2020-04-23,1905
Healthcare,2020-04-23,6294
Economic Inequality,2020-04-23,351
Civil Rights & Discrimination,2020-04-23,13141
Labor Rights ,2020-04-23,476
Education & Student Debt,2020-04-23,3962
Economy,2020-04-24,19485
Climate and Energy,2020-04-24,15974
Defense,2020-04-24,4263
Taxes,2020-04-24,2884
Poverty,2020-04-24,1404
Healthcare,2020-04-24,4037
Economic Inequality,2020-04-24,576
Civil Rights & Discrimination,2020-04-24,8576
Labor Rights ,2020-04-24,652
Education & Student Debt,2020-04-24,6169
Economy,2020-04-25,15874
Climate and Energy,2020-04-25,21692
Defense,2020-04-25,1880
Taxes,2020-04-25,4388
Poverty,2020-04-25,1103
Healthcare,2020-04-25,8978
